Dependency,Version
libevent-2.1-6:amd64,2.1.8-stable-4
libexpat1:amd64,2.2.6-2+deb10u6
libext2fs2:amd64,1.44.5-1+deb10u3
libfastjson4:amd64,0.99.8-2
libfdisk1:amd64,2.33.1-0.1
libffi6:amd64,3.2.1-9
libfftw3-double3:amd64,3.3.8-2
libfile-listing-perl,6.04-1
libfontconfig1:amd64,2.13.1-2
libfreetype6:amd64,2.9.1-3+deb10u3
libfribidi0:amd64,1.0.5-3.1+deb10u2
libfstrm0:amd64,0.4.0-1
libfuse2:amd64,2.9.9-1+deb10u1
libgcc-8-dev:amd64,8.3.0-6
libgcc1:amd64,1:8.3.0-6
libgcrypt20-dev,1.8.4-5+deb10u1
libgcrypt20:amd64,1.8.4-5+deb10u1
libgdbm-compat4:amd64,1.18.1-4
libgdbm6:amd64,1.18.1-4
libgdk-pixbuf2.0-0:amd64,2.38.1+dfsg-1
libgdk-pixbuf2.0-common,2.38.1+dfsg-1
libgeoip-dev,1.6.12-1
libgeoip1:amd64,1.6.12-1
libgfapi0:amd64,5.5-3
libgfrpc0:amd64,5.5-3
libgfxdr0:amd64,5.5-3
libgirepository-1.0-1:amd64,1.58.3-2
libglib2.0-0:amd64,2.58.3-2+deb10u4
libglusterfs0:amd64,5.5-3
libgmp10:amd64,2:6.1.2+dfsg-4+deb10u1
libgnutls-openssl27:amd64,3.6.7-4+deb10u10
libgnutls30:amd64,3.6.7-4+deb10u10
libgomp1:amd64,8.3.0-6
libgoogle-perftools-dev:amd64,2.7-1
libgoogle-perftools4:amd64,2.7-1
libgpg-error-dev,1.35-1
libgpg-error0:amd64,1.35-1
libgpm2:amd64,1.20.7-5
libgraphite2-3:amd64,1.3.13-7
libgssapi-krb5-2:amd64,1.17-3+deb10u5
libharfbuzz0b:amd64,2.3.1-1
libheif1:amd64,1.3.2-2~deb10u1
libhiredis0.14:amd64,0.14.0-3
libhogweed4:amd64,3.4.1-1+deb10u1
libhtml-parser-perl,3.72-3+b3
libhtml-tagset-perl,3.20-3
libhtml-tree-perl,5.07-2
libhttp-cookies-perl,6.04-1
libhttp-date-perl,6.02-1
libhttp-message-perl,6.18-1
libhttp-negotiate-perl,6.01-1
libhttp-parser2.8:amd64,2.8.1-1+deb10u3
libibverbs1:amd64,22.1-1
libice6:amd64,2:1.0.9-2
libicu-dev:amd64,63.1-6+deb10u3
libicu63:amd64,63.1-6+deb10u3
libidn11:amd64,1.33-2.2
libidn2-0:amd64,2.0.5-1+deb10u1
libio-html-perl,1.001-1
libio-pty-perl,1:1.08-1.1+b5
libio-socket-ssl-perl,2.060-3
libip4tc0:amd64,1.8.2-4
libip6tc0:amd64,1.8.2-4
libipc-run-perl,20180523.0-1
libipt2,2.0-2
libiptc0:amd64,1.8.2-4
libiptcdata0,1.0.5-2.1
libirs-export161,1:9.11.5.P4+dfsg-5.1+deb10u8
libirs161:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
libisc-export1100:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
libisc1100:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
libisccc-export161:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
libisccc161:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
libisccfg-export163,1:9.11.5.P4+dfsg-5.1+deb10u8
libisccfg163:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
libitm1:amd64,8.3.0-6
libivykis0:amd64,0.42.3-1
libjansson4:amd64,2.12-1
libjbig0:amd64,2.1-3.1+b2
libjemalloc2:amd64,5.1.0-3
libjpeg62-turbo:amd64,1:1.5.2-2+deb10u1
libjq1:amd64,1.5+dfsg-2+b1
libjs-excanvas,0.r3-4
libjson-c3:amd64,0.12.1+ds-2+deb10u1
libk5crypto3:amd64,1.17-3+deb10u5
libkeyutils1:amd64,1.6-6
libklibc:amd64,2.0.6-1+deb10u1
libkmod2:amd64,26-1
libkrb5-3:amd64,1.17-3+deb10u5
libkrb5support0:amd64,1.17-3+deb10u5
libksba8:amd64,1.3.5-2+deb10u2
liblasem,0.6-2+8a6acad+github3
liblcms2-2:amd64,2.9-3
libldap-2.4-2:amd64,2.4.47+dfsg-3+deb10u7
libldap-common,2.4.47+dfsg-3+deb10u7
liblmdb0:amd64,0.9.22-1
liblocale-gettext-perl,1.07-3+b4
liblockfile-bin,1.14-1.1
liblockfile1:amd64,1.14-1.1
liblog-message-perl,0.8-1
liblog-message-simple-perl,0.10-3
liblognorm5:amd64,2.0.5-1
liblqr-1-0:amd64,0.4.2-2.1
liblsan0:amd64,8.3.0-6
libltdl7:amd64,2.4.6-9
liblua5.1-0:amd64,5.1.5-8.1+b2
libluajit-5.1-2:amd64,2.1.0~beta3+dfsg-5.1
libluajit-5.1-common,2.1.0~beta3+dfsg-5.1
liblvm2cmd2.03:amd64,2.03.02-3
liblwp-mediatypes-perl,6.02-1
liblwp-protocol-https-perl,6.07-2
liblwres161:amd64,1:9.11.5.P4+dfsg-5.1+deb10u8
liblz4-1:amd64,1.8.3-1+deb10u1
liblzma-dev:amd64,5.2.4-1+deb10u1
liblzma5:amd64,5.2.4-1+deb10u1
liblzo2-2:amd64,2.10-0.1
libmagic-mgc,1:5.35-4+deb10u2
libmagic1:amd64,1:5.35-4+deb10u2
libmagickcore-6.q16-6:amd64,8:6.9.10.23+dfsg-2.1+deb10u4
libmagickwand-6.q16-6:amd64,8:6.9.10.23+dfsg-2.1+deb10u4
libmariadb3:amd64,1:10.3.38-0+deb10u1
libmaxminddb0:amd64,1.3.2-1+deb10u1
libmecab2:amd64,0.996-6
libmemcached11:amd64,1.0.18-4.2
libmnl0:amd64,1.0.4-2
libmodule-load-conditional-perl,0.68-1
libmodule-pluggable-perl,5.2-1
libmongo-client0:amd64,0.1.8-4
libmongoc-1.0-0,1.14.0-1
libmount1:amd64,2.33.1-0.1
libmpdec2:amd64,2.4.2-2
libmpfr6:amd64,4.0.2-1
libmpx2:amd64,8.3.0-6
libmspack0:amd64,0.10.1-1
libmysqlclient-dev,5.7.35-1debian10
libmysqlclient20:amd64,5.7.35-1debian10
libncurses5:amd64,6.1+20181013-2+deb10u3
libncurses6:amd64,6.1+20181013-2+deb10u3
